protein,pvalue,log2FC,adj_pvalue
SRSF7,0.38264385772689113,-0.26652360064350944,0.5128605059256424
DAD1,0.3533458323035798,-0.783713863481232,0.48615743699128033
PWP2,0.19126039982407395,-0.2898368521803363,0.3090245925940898
CYP51A1,0.7170612373110127,-0.045447136029171276,0.8004917349376657
SET;SETSIP,0.0004766013541638535,-0.3604726762666175,0.004202581981250498
NELFA,0.2300401141154861,-0.15100639043893693,0.3542632524223507
RPSA,0.28711524499515967,-0.14761633725725432,0.41940778242753707
ABI2,0.11091764962286653,-0.18539642114875932,0.21204328434082703
ARL6IP4,0.1504466467369518,-0.6921278582955885,0.26234811576707845
DDX46,0.018603238840580034,-0.2588723198551115,0.058264478808390016
ECI2,0.0007218064355339223,1.5872319482085437,0.0056754311068335115
CAST,3.585795815772281e-05,0.7398960286933125,0.0007099875715229117
CHD4,0.019501042152832167,-1.1295448799470762,0.06041716900265784
CD276,0.8865010970501802,0.09765674623110243,0.9230959262757523
GIT1,0.09138308691794127,-0.4479413462666493,0.18377872881558271
CAPNS1,0.0004966755544814074,0.6635240202275945,0.0043444150910060455
RPRD1A,0.01955843413180374,-1.055705191905151,0.060508905595267816
DDOST,9.413951097197342e-05,0.481144355616447,0.001322811967077149
CDK11B;CDK11A,0.2662124062996602,-0.4522453219354041,0.39604550609334693
DDX3X;DDX3Y,0.04074317144509551,-0.14583405948333805,0.10330457206917115
SPTAN1,0.07133496460806348,-1.2927726405465307,0.15483752309675056
ARFGAP2,0.8739339524594618,0.03094555623438211,0.9151096867580326
DNM1,0.049659731027364415,-0.9943664570918429,0.12000028622641433
HADH,0.018326515536359663,-0.6615703316344614,0.05759762025713037
OGDH,0.04983178791099304,1.2448085865313807,0.12000028622641433
STXBP1,0.2587297894011268,0.20022938802705426,0.3885845263320644
PHF6,0.0002093870362927979,-0.2943651883737495,0.0023507472425036797
PPP1R18,0.008425621029750393,1.366771968646944,0.033184453169613666
HLA-A,2.180827751752055e-06,1.6018888103670008,9.884260103288554e-05
HSPA1A;HSPA1B,0.06003414115520001,-0.10915172989164645,0.13677234250630296
GBA,0.022267463546359785,1.5786649096343446,0.06680239063907936
SCRIB,0.15141905436268427,-0.37458690924190563,0.26341110255744915
PUF60,0.0031848278093009196,-0.21445885984261182,0.016056840205225468
A0A0J9YXC7;C9JF46;P0CW19;P0CW20;F8WC86,0.08210726081234061,1.2531922315151078,0.1698657313039681
PON2,0.00010819852685467758,0.4059139686393465,0.0014637042949657625
ELAVL4,0.4711107959154714,-0.16091419825198017,0.5976000661059386
TPM1,0.27238833721020683,-0.28305219085332567,0.4026598120982682
GATAD2B,0.0043621602928763615,-0.6727133162463694,0.02017151829699515
ENAH,0.030829363650349096,-0.2007805353840837,0.08424887582240945
ADSL,0.04645760197348361,-0.5444944018343989,0.1141507837722154
ASAH1,0.5206257394659314,0.1963406201631379,0.6392628921044433
PXN,0.0003270126862132854,2.07133334195278,0.003208259597173584
TJP2,0.020924836874125496,-0.8603099571369768,0.06329763154422963
CTSD,8.520544819353467e-07,0.5447450569500063,5.799295817672454e-05
CPT2,0.9246690569075766,-0.03199148069465352,0.9490851012774489
ALDH7A1,0.33202886757257977,-0.0946822218856731,0.46595288245688066
DCX,0.000933861641754919,-2.6008635429770486,0.006757311148645227
DPYSL2,0.008519807912501525,-0.32026132772569227,0.033494840493552926
A0A1W2PNV4;E9PF58;F8WFD3,0.011911690009790582,0.47245192232088584,0.04267049480480902
UNC45A,0.7932812771922608,0.05944187143068902,0.8561777114592389
ME2,0.7532714164391741,0.01491894620506784,0.8235784527868435
SCARB2,0.0015708956020349422,0.7105914524634223,0.009557012908469564
TCEA1,0.001426861863943065,-0.3077749717461842,0.008828707783147715
DDX17,0.008678692199228032,-0.30677013787992635,0.033996747499853694
PHGDH,0.0011270437575571697,-0.48317490457093726,0.007670941574873486
RRM2,0.1502460033993797,-0.6759770052414638,0.26234811576707845
PPT1,0.06099664066562716,-0.9265700843756761,0.1381919939925511
OPA1,0.26764099947351416,0.09172052465111946,0.39762762404728097
