protein,pvalue,log2FC,adj_pvalue
ACOT9,0.007682785482823858,1.185299243069469,0.03087289074094163
SDCBP,0.00825960678017563,1.027516754926662,0.032827415268654236
ITGA3,0.008335675970618248,1.2532777939777553,0.032889678014504604
ARF5,0.008319215283054843,-3.6408302400608896,0.032889678014504604
PPP1R18,0.008425621029750393,1.366771968646944,0.033184453169613666
PDLIM5,0.00942209395712351,1.082393952624475,0.03632092148427435
LAMP1,0.009620541773755268,2.7604385572446333,0.036909604086243206
CD44,0.009759805190124435,1.224413883358956,0.03719605772581629
H2AFX;HIST1H2AA,0.009970638942978548,-2.288824457891188,0.03783284253973393
SUPT6H,0.010423753283670437,-1.0522608202445305,0.03894156887107069
TAX1BP3,0.010479797285082346,2.663583603661042,0.03895050936332653
PTPN12,0.01054344690809462,1.4663297640694068,0.03912031919221479
YY1,0.010915889578300026,-1.0235231664787143,0.040296283900910945
M6PR,0.011115729735730358,2.4916303802208724,0.04081963327737718
ABCB1,0.011482593077364697,1.4907085720741122,0.041749833621866045
NCAPD2,0.01159054295469002,-1.2422691887171524,0.04193389128789845
CAT,0.011829795873965541,-1.5338577734425414,0.04251698913118308
LUZP1,0.011829534783573717,1.2343258164114026,0.04251698913118308
PIR,0.011939838655695475,-1.319471136273016,0.042687285561845964
ITGAV,0.01235677087581891,1.431574851542564,0.043761051979729404
IPO9,0.012413820260091742,-1.2491696606045082,0.043891721633895805
SMARCC1,0.012775325673601614,-1.099391218550121,0.0448062146813274
BCCIP,0.01299022856610202,-2.7425027024400173,0.04512395186119649
DNMT1,0.01369684336732604,-1.8757713951962813,0.0470531937760822
GLB1,0.01436985483699553,1.2358033313313435,0.04875006827877923
