"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"G3BP2__2095",-0.0357622844716019,25.5695842170799,-0.41995201118108,0.679897494800092,0.810962072110953,-7.01693480032027
"ARFGAP2__95",0.0822600902941133,23.8878675086255,0.419215504024364,0.680425058984424,0.811147114651382,-7.01725683570694
"ATP2B1__861",0.201390954040125,23.7636585439446,0.417386046362116,0.681736248718922,0.81226561800318,-7.01805436555045
"SNRPC__62",-0.0460068294611062,27.2972853085037,-0.414413974099349,0.683868599877092,0.813842163811186,-7.01934272274332
"NUDCD3__1677",-0.049821134391884,25.2273062935299,-0.413893887055199,0.684242026911227,0.813842163811186,-7.01956724716556
"PCBP3__280",0.336326805937997,25.4360320605261,0.413685780965332,0.684391472534775,0.813842163811186,-7.01965701034312
"NDRG3__2064",0.16660695698404,23.7430109945921,0.413459331106483,0.684554106566617,0.813842163811186,-7.01975463557019
"RPS20__1221",0.0505075282771159,28.8818758010287,0.412618940285678,0.685157806514375,0.814115495138193,-7.0201164803121
"PSMB7__1843",-0.0820083537012195,26.4653574887788,-0.411684145779065,0.685829580048958,0.81446937041801,-7.02051812488879
"LETM1__610",0.0498487522280264,25.5392621918843,0.409591038548393,0.687334737854033,0.814621763513886,-7.02141421443278
"HACD3__2037",-0.25202028260475,24.8920911010803,-0.408829628418542,0.687882605866438,0.814621763513886,-7.02173907496716
"RANBP3__1948",-0.0609758474365947,24.6237356651967,-0.408668924148272,0.687998262533422,0.814621763513886,-7.02180756477486
"RPS9__4",-0.0494428337934103,27.7736302193267,-0.408603285907075,0.688045503771918,0.814621763513886,-7.02183553124234
"SLC25A6__780",-0.022304784735752,28.6972263762549,-0.408503117796708,0.688117599455044,0.814621763513886,-7.02187820135647
"ZC3H14__1628",-0.217464731328388,23.6259092067188,-0.408385802371123,0.688202040801447,0.814621763513886,-7.02192816293463
"PRPF3__503",-0.0632188668832789,24.4010960402031,-0.407636621159288,0.688741386874561,0.814730752103094,-7.0222468879846
"FAM129B__1841",0.0637571725468788,24.0220966993147,0.407218794307122,0.689042261420523,0.814730752103094,-7.02242439540821
"PRRC2A__1084",0.0435795369322847,24.1871735988631,0.405702190890539,0.690134809434841,0.815579823629454,-7.02306720221012
"HARS2__137",-0.121825531120646,23.6856258498284,-0.404572599261515,0.690949016302779,0.81609921773723,-7.023544447726
"CIAO1__594",0.113939103976648,23.3323994227464,0.402422920129186,0.692499578310671,0.817487307078938,-7.02444907011129
"HSPA2__1185",-0.108782068252523,24.3091178744021,-0.401579697532876,0.693108179229298,0.817762521322542,-7.02480262242128
"EWSR1__1361",-0.0483769857247722,27.0968653643443,-0.399905874802764,0.694316911556075,0.818745118229091,-7.02550227984523
"AGK__276",-0.110685669100359,24.2946513439216,-0.398495489356005,0.695336065486783,0.819503220037994,-7.02608959539285
"TPP1__145",0.237331329447784,24.0934476352634,0.39730259653915,0.696198527521935,0.820075929119943,-7.02658475333582
"PHPT1__1997",-0.0985984550277053,26.2459530627794,-0.39487874464909,0.697952294985098,0.821697350528401,-7.02758638373152
"FKBP8__1488",0.0334671975021656,24.7686814025726,0.393436433521648,0.698996710561937,0.822482353108535,-7.02817954866526
"HNRNPM__1152",-0.0352304566586774,28.8001367865816,-0.390780270902674,0.700921736007532,0.823977886113039,-7.02926634789041
"HCFC1__170",-0.0903852531957874,25.6285318713705,-0.390638772070213,0.701024344796814,0.823977886113039,-7.0293240410061
"CSNK1A1__1089",0.0692055534078193,23.3767386025455,0.38902264471843,0.702196712171919,0.824910700706817,-7.02998152718182
"SYMPK__1763",-0.244151483248661,23.6301477182411,-0.388427374103681,0.702628727352518,0.824973244298536,-7.03022302564475
"ENAH__112",0.0473737499237608,25.9138041596545,0.387583350759555,0.703241453677106,0.82524778346376,-7.03056481945506
"CRYZ__1396",-0.0378562211605669,25.679937868254,-0.386209810194062,0.704239037910948,0.82597341118473,-7.03111948446634
"SMARCD2__215",-0.0664276444462217,23.6343133121341,-0.381879851112735,0.707387462170576,0.829219533157974,-7.03285535485189
"GIT1__88",-0.0903861787489078,23.8354634868024,-0.380220755307757,0.708595287135787,0.83018856125968,-7.03351538713062
"POGZ__1656",-0.046408171102911,23.8586889229826,-0.377611635688834,0.710496350583166,0.831968307295771,-7.03454765119595
"RPL10A__1293",-0.050392710250204,28.7193802230154,-0.375632601781389,0.711939633653086,0.833210382641817,-7.03532597070019
"PABPC1__776",0.0232309710327847,27.7218342814431,0.371749923978251,0.71477449256408,0.835830203265204,-7.0368412769646
"PRKACA__829",-0.265390674255187,24.1297391603517,-0.371443804007242,0.714998183486668,0.835830203265204,-7.03696008905192
"PSMD7__1146",-0.02887634978104,26.4905519278669,-0.370990561705087,0.715329430159018,0.835830203265204,-7.03713582588002
"RPL5__139",0.0374476192739124,28.3926886227504,0.368619679438555,0.717063113991502,0.837406682184178,-7.03805165497833
"ZC3H18__266",0.153341295092403,23.4081276587594,0.367218204596957,0.718088678552015,0.837719436139789,-7.03859030328342
"NUP153__1116",-0.134525098581644,24.1961959136392,-0.367202494705468,0.718100177811288,0.837719436139789,-7.03859632984421
"DHX36__1937",-0.117527686448621,23.7350789078469,-0.364667464305161,0.719956670638376,0.839435561376007,-7.03956548405642
"ACOT7__422",-0.0455516432235932,27.3372324098134,-0.363912641314991,0.720509803723134,0.839574365786582,-7.03985278006528
"PSMD11__425",0.0269993038232919,25.989247369735,0.363453039240736,0.72084667769555,0.839574365786582,-7.04002742399071
"LMO7__292",0.1172052681152,23.3973587849956,0.359344838449339,0.723860482417052,0.841831986897202,-7.04157884734083
"HSP90AB2P__1596",-0.0581467244569502,28.7149194438506,-0.359132213803051,0.724016593217511,0.841831986897202,-7.04165867052115
"MTX1__1451",-0.0791656389284086,24.5034994129732,-0.359037931807314,0.724085819864072,0.841831986897202,-7.04169405082122
"RPL28__344",-0.031676520145389,27.9457978059828,-0.358703899137858,0.724331103510265,0.841831986897202,-7.04181932645576
"PHOX2A__460",-0.0647560105968843,25.8231751009598,-0.356435736563256,0.725997455310263,0.843318644088401,-7.04266694163965
"SPCS1__2169",0.290810898337629,24.5072072956362,0.355534687312603,0.726659823449444,0.843509072089282,-7.04300219544381
"PSMD8__2176",-0.0330457632262799,25.5553870380594,-0.355159131393684,0.726935963412113,0.843509072089282,-7.04314168196208
"TIAL1__1356",0.0402970759657144,25.3486834214516,0.353571791230334,0.728103535656434,0.844414004611137,-7.04372963770089
"PES1__205",0.0700515266276476,24.8542305201766,0.350290648061728,0.730519172544465,0.845188555473195,-7.0449367593403
"MAPRE1__1551",0.0545125767007626,27.2649680714957,0.349683497221288,0.730966489212364,0.845188555473195,-7.0451589124255
"MLEC__300",-0.121626846288404,24.9317712464167,-0.349482344885864,0.731114709679261,0.845188555473195,-7.04523242919473
"PLIN2__1848",-0.0818884500381252,23.3931139631967,-0.349297114290621,0.731251207802388,0.845188555473195,-7.04530009005402
"MAPK1__937",-0.0308121810868194,24.8948197411029,-0.348844531887826,0.731584759013924,0.845188555473195,-7.04546526024803
"THOC3__1823",-0.15364101643182,23.751959362389,-0.348797903447726,0.731619127116744,0.845188555473195,-7.04548226533253
"PDHB__764",0.0250656077368276,25.3402826489234,0.348451181412859,0.731874701582365,0.845188555473195,-7.04560864231848
"PSMD10__185",0.0777938697055589,24.6637609292246,0.34844961460474,0.731875856575962,0.845188555473195,-7.04560921312449
"TPM2__1612",0.509083618246208,25.9318619785739,0.347392566374191,0.732655224966434,0.845640211964437,-7.04599373135644
"SRP68__2066",0.0399444948644962,24.8933872079554,0.346839288371719,0.733063280527305,0.845663042896436,-7.04619453608548
"CUTA__544",-0.254356457256041,24.3303904979172,-0.345096960602052,0.73434882626757,0.846288553257777,-7.04682482938
"PPP1R8__1420",-0.0287076621336979,25.042893671588,-0.345051162121653,0.734382628860054,0.846288553257777,-7.04684135494337
"SAMM50__2152",-0.182961163709667,24.2372003526469,-0.344026975226094,0.735138699665047,0.846711839170001,-7.04721034970912
"RPL32__237",-0.0263075046659473,28.0835796269364,-0.343267136708385,0.735699805629568,0.84691024136427,-7.04748340618337
"TPM1__110",0.103465958677766,28.5134977606135,0.338997686037801,0.738855456346788,0.849550705162759,-7.04900661125277
"FAM98B__1591",-0.0335597879736085,26.3890785281484,-0.33894086139152,0.738897489338334,0.849550705162759,-7.04902675772453
