"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TAGLN2__1017",0.634703160174091,29.5988349987156,6.74019214439727,3.88661592079524e-06,8.55055502574952e-05,4.22590132111744
"SMC4__2003",-1.16156035715177,24.5210411556158,-6.62590382937309,4.80060425504369e-06,0.000104557160674852,4.01006506998868
"GNG2__322",1.24972373153026,25.6113853016276,6.61147257369489,4.9309786301998e-06,0.00010633338075817,3.98268470417883
"PRPS1__188",-1.01009892399452,25.3764752443169,-6.6011591857259,5.02640297969766e-06,0.000107328487154721,3.96309979659557
"RBP1__731",1.13187119352017,28.3960161682211,6.541669367445,5.6156006166814e-06,0.00011874541886536,3.84984785513125
"PGD__1151",0.437948638703553,27.9245224757748,6.51858097886665,5.86321492489539e-06,0.000121860645659209,3.80576476103015
"UBTF__287",-0.463596711058301,25.0657096728647,-6.51752346530859,5.87482451525114e-06,0.000121860645659209,3.80374390193489
"ANXA5__723",0.583975465098518,27.1913962672822,6.50802881919851,5.98013467021285e-06,0.000122238615858141,3.78559329813796
"FHL1__1603",-1.07398529982795,26.7411111270654,-6.5057861269999,6.00529471846697e-06,0.000122238615858141,3.78130423664689
"SRI__964",0.439608453434143,27.1804375262479,6.48750725475176,6.21450590324124e-06,0.000125325869048698,3.74632125128974
"STMN1__824",-0.732727151195306,29.4646583189256,-6.47997763480748,6.30287520938738e-06,0.000125747389666411,3.73189757531738
"HSPA5__757",0.591318082473332,29.177604850277,6.47593330541397,6.35087826598034e-06,0.000125747389666411,3.72414713237765
"LMCD1__2033",-1.38061895433025,24.6349367486433,-6.44660175445407,6.71058550837815e-06,0.000131672569704934,3.66787091847956
"HSP90B1__805",0.510662508407307,29.027892465003,6.43941366990548,6.80192330057043e-06,0.000132273115612879,3.6540619994835
"UHRF1__13",-1.61066913276516,23.3861376123828,-6.43158024768737,6.90293290637355e-06,0.000133049450177713,3.6390054115469
"ARPC5__491",0.562183915204347,27.1113876726543,6.40917151759635,7.20057907763861e-06,0.000137568958167517,3.59588811034108
"SSRP1__1399",-0.460973212148382,26.1388692993781,-6.40102076774134,7.31212086039403e-06,0.000138485210729897,3.58018827613829
"DLST__1013",0.522849290085226,26.8272787011812,6.38830072337192,7.48979056439249e-06,0.000140627274562473,3.55566932866867
"SERPINE1__671",1.36704543571098,23.9206439724404,6.37880524554462,7.6253385443342e-06,0.000141375711731953,3.53735185663185
"ISYNA1__1976",0.568997905796675,26.0098336640474,6.37644160014963,7.65947382202502e-06,0.000141375711731953,3.53279033312286
"EZR__262",0.527389605798358,26.2314015766713,6.26312274368542,9.49697509163744e-06,0.000173818586130978,3.31322455532152
"PFAS__474",-0.506284445931254,25.5707943669422,-6.23258199970502,1.00666186322144e-05,0.000182709128174692,3.25375697798134
"BUD31__1036",-0.487049814878397,24.8029445223033,-6.19645457852615,1.07864992049189e-05,0.000194156985688541,3.18325213138917
