"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DHFR__640",-1.92827178172766,24.0529101452461,-5.29541599236782,6.38576222568659e-05,0.00110382461329725,1.50351339392082
"NQO1__198",2.3204185292172,25.4698983446549,5.2501794599829,7.00101784207292e-05,0.00119126694219022,1.41052373684517
"TUBB6__1888",1.17022443762114,25.5510389236648,5.15613743118307,8.48289562119222e-05,0.00138915388443283,1.21652259241404
"PYGL__689",1.21150143582663,23.6590429275193,5.08280080880535,9.85996185521612e-05,0.00155615919714933,1.06461467645478
"GBE1__1375",1.22069337540969,24.1127449286467,5.04718707812053,0.000106095307568231,0.00163883389988375,0.990656085290327
"EFHD2__1794",2.571257325655,25.7800929481782,4.98601727548741,0.00012036309030336,0.0018140405909534,0.863346606943078
"PITRM1__1601",1.18296259427836,23.9583176457465,4.96532556809426,0.000125623055314241,0.00186086657093343,0.820204225861185
"FBLIM1__1730",1.33969125419488,24.8452852055776,4.95607003765165,0.000128051592620438,0.00187178770957929,0.800893891745098
"LIG1__850",-1.36908907468719,23.526117132986,-4.92040239015662,0.000137869308638716,0.00200186236143415,0.726407453602882
"DCTD__981",1.59874256743367,23.8358972299195,4.8089201335079,0.000173826007368831,0.00239615850664122,0.492894812498516
"TAX1BP3__464",2.61018080619388,25.360434390721,4.79421923278483,0.000179236997272948,0.00244202112407508,0.462026436918874
"SDF4__1877",-1.03585996821478,23.4649642158504,-4.73390543446485,0.000203302751184641,0.00269995970780578,0.335207548112618
"LUZP1__1669",1.32883787058282,24.1238093620164,4.66807296763177,0.000233365971822215,0.00300752122265552,0.196479616306692
"FHL2__67",1.3546236172482,24.4746149436663,4.63111739948818,0.000252194649477555,0.0032096388253722,0.118472143605563
"PDLIM5__1816",1.32909195921464,25.9255295254836,4.59274789516467,0.000273388186748174,0.00338317881100866,0.0373856362435898
"NRCAM__234",-1.26964012340503,24.4239039473045,-4.50886370383864,0.000326276222357731,0.00392350716697543,-0.140198947571885
"MTA1__1440",-1.31656596261823,23.5353937912836,-4.41194224483998,0.000400532559777575,0.00466502628446822,-0.345857955148403
"RRM1__897",-1.14013342617479,24.3750816769119,-4.38810486732057,0.000421296349830533,0.00488076303154735,-0.396507342392879
"IPO9__1831",-1.67639083217819,24.7927577491364,-4.35999591856024,0.000447191983668078,0.00507283406473476,-0.456264044705781
"CDK6__1348",2.01750748340428,24.7720105883113,4.3507256828259,0.000456082270196656,0.00513273799375753,-0.475978624078125
"HIST2H3A__1641",-2.40457336808583,30.3095977199762,-4.29197513474681,0.000516753838347134,0.00558790220065824,-0.600994894110988
