protein,pvalue,log2FC,adj_pvalue
GUK1,0.966605568502998,0.022637214190918797,0.9841047531857839
PABPC4,0.20388510922109432,0.11768730093922741,0.39861918122400664
SOAT1,0.8484975743876971,0.08696843743593519,0.9168028765671542
HNRNPC,0.03829162851393332,-0.1995720598481796,0.1435441771141941
EIF3H,0.9909793322461316,-0.0009649954028354557,0.9966468682064902
MSI2,0.018854472568259832,-0.8552715610498822,0.09839775590934181
CS,0.2754416851298725,0.13394277992684067,0.4787805189248701
SLC25A10,0.5514339255865746,-0.07483666701740788,0.7280753985774369
NQO1,0.00877713655704392,2.3204185292171857,0.06226906651870246
SEC61A1;SEC61A2,0.4532538549603253,0.7496375651513638,0.6520389009931232
STK24,0.02212471056357617,-0.22926022602173646,0.10684616320946541
MTAP,0.4010011725401727,0.3696668591394676,0.6052533290315288
CNN2,0.0012227891711199814,1.0651793434150427,0.017994829829049458
VBP1,0.31184990076966285,-0.7400856343057107,0.5165088090314264
ILF2,0.09870198832613485,-0.29021667261095985,0.2522998800431895
PES1,0.7836212144162167,0.07005152662764402,0.8833990709102071
SEPT10,0.5818897491527912,0.1814815173291926,0.7491175174675142
DDX27,0.14135216231450728,-0.23084790654999665,0.316980321661455
ACADM,0.056348549279418604,0.215537447335727,0.18208774529758712
SH3GLB2,0.5167730570594351,0.1343243264556655,0.7023685390119829
MZT2B;MZT2A,0.1216622181988582,0.7332261294038034,0.28927981576104056
GLS,0.1570842552168803,-0.44139047478341453,0.3407664420939894
SUMO1,0.013500028623812431,-0.22689627392829692,0.08144892615696253
PTMA,0.016945837469534403,-0.5295500936294495,0.09158321093956806
USP39,0.9640463659775264,-0.0326005372240985,0.9834606049340242
SMARCD2,0.495329211289779,-0.06642764444623239,0.6846714145973566
HNRNPLL;HNRPLL,0.9182776235982363,0.01811932140638106,0.9560270861362135
PCYT1A;PCYT1B,0.011756444354111422,0.6970824128449422,0.07508954781013101
ZC3HC1,0.6887785047890345,-0.11042759224985588,0.8220052511948038
POLR2B,0.5268931647487023,0.05534899037144925,0.7088161289825037
RPL37A,0.9014696686620944,-0.02096337781568991,0.9466735479006951
TNPO3,0.6275000392485783,-0.19898934462739248,0.7804144082553623
SSR3,0.34002289498047517,0.7500038123908617,0.5409568044320489
PSPH,0.10534001163814569,0.19227784448313656,0.263315090679397
DRAP1,0.8271937566667156,0.09003796807943232,0.9076079518857464
AAMP,0.04737266438521439,1.060847236654368,0.16482054797283857
GPS1,0.3916598747533809,-0.36170089348215484,0.5944492062821388
